module	title	code	type	semester	credits
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Algorithmic Geometry	192.133	VU	2024W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Algorithmics	186.814	VU	2024W	6
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Analysis 2	104.268	UE	2025S	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Approximation Algorithms	186.102	VU	2024W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Database Theory	181.140	VU	2024W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Fixed-Parameter Algorithms and Complexity	192.135	VU	2024W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Frontiers of Algorithms and Complexity	192.136	VU	2024W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Heuristic Optimization Techniques	192.137	VU	2024W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Hybrid Quantum - Classical Systems	194.027	VU	2024W	4
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Nonlinear Programming	105.147	VO	2024W	3
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Nonlinear Programming	105.652	UE	2024W	2
Modul BDHPC/EX - Big Data and High Performance Computing - Extension	Randomized Algorithms	192.045	VU	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Deductive Databases canceled	192.067	VO	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Description Logics and Ontologies	184.772	VU	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Information Visualization	188.308	UE	2024W	1
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Natural Language Processing and Information Extraction	194.093	VU	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Processing of Declarative Knowledge	184.205	VO	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Realtime Visualization	186.191	VU	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Semi-Automatic Information and Knowledge Systems	188.387	VU	2025S	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Visual Data Science	186.868	VU	2024W	3
Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension	Visualization 2	186.833	VU	2024W	4
